Target Distance: 100, Step Size: 10
0: (x,y) = (0, 0)
1: (x,y) = (-1.73648, -9.84808)
2: (x,y) = (-6.88686, -18.4198)
3: (x,y) = (2.96122, -16.6833)
4: (x,y) = (1.05313, -6.867)
5: (x,y) = (-7.1384, -1.13123)
6: (x,y) = (2.78707, -2.34993)
7: (x,y) = (0.0306926, 7.26269)
8: (x,y) = (6.85068, 14.5762)
9: (x,y) = (16.6669, 16.4843)
10: (x,y) = (13.4113, 25.9395)
11: (x,y) = (3.53438, 27.5038)
12: (x,y) = (-4.65714, 21.7681)
13: (x,y) = (5.30481, 22.6396)
14: (x,y) = (12.8519, 16.0791)
15: (x,y) = (21.4236, 21.2294)
16: (x,y) = (31.4175, 21.5784)
17: (x,y) = (29.5094, 31.3947)
18: (x,y) = (26.2537, 21.9395)
19: (x,y) = (21.4056, 30.6857)
20: (x,y) = (14.9777, 23.0253)
21: (x,y) = (22.8579, 16.8687)
22: (x,y) = (12.8716, 17.392)
23: (x,y) = (3.47463, 13.9718)
24: (x,y) = (1.73815, 23.8199)
25: (x,y) = (-5.9223, 17.392)
26: (x,y) = (0.769009, 24.8235)
27: (x,y) = (-8.84361, 22.0671)
28: (x,y) = (-0.363127, 27.3663)
29: (x,y) = (-4.10919, 18.0944)
30: (x,y) = (0.430712, 9.18437)
31: (x,y) = (10.3759, 10.2297)
32: (x,y) = (19.286, 14.7696)
33: (x,y) = (28.1155, 19.4643)
34: (x,y) = (18.2674, 17.7278)
35: (x,y) = (27.778, 20.818)
36: (x,y) = (30.8681, 11.3074)
37: (x,y) = (21.4712, 14.7276)
38: (x,y) = (30.1315, 9.7276)
39: (x,y) = (20.5684, 12.6513)
40: (x,y) = (29.5564, 8.26761)
41: (x,y) = (32.3127, -1.34501)
42: (x,y) = (41.8233, 1.74516)
43: (x,y) = (51.4825, 4.33335)
44: (x,y) = (41.7796, 6.75257)
45: (x,y) = (31.7811, 6.9271)
46: (x,y) = (22.1219, 9.51529)
47: (x,y) = (29.8933, 3.22208)
48: (x,y) = (28.329, -6.6548)
49: (x,y) = (19.6687, -1.6548)
50: (x,y) = (10.8392, -6.34952)
51: (x,y) = (7.41904, 3.04741)
52: (x,y) = (5.68256, 12.8955)
53: (x,y) = (-1.51084, 5.9489)
54: (x,y) = (-0.639284, 15.9109)
55: (x,y) = (7.24082, 9.75424)
56: (x,y) = (14.6723, 3.06293)
57: (x,y) = (24.4885, 1.15484)
58: (x,y) = (29.4885, 9.81509)
59: (x,y) = (37.5787, 15.6929)
60: (x,y) = (29.2883, 21.2849)
61: (x,y) = (19.3431, 20.2396)
62: (x,y) = (11.9117, 26.9309)
63: (x,y) = (14.8354, 17.3678)
64: (x,y) = (20.1346, 25.8483)
65: (x,y) = (23.3903, 35.3035)
66: (x,y) = (26.1466, 44.9161)
67: (x,y) = (18.7152, 51.6074)
68: (x,y) = (15.7915, 61.1705)
69: (x,y) = (23.3386, 54.6099)
70: (x,y) = (21.2594, 44.8284)
71: (x,y) = (28.206, 37.635)
72: (x,y) = (20.7746, 30.9437)
73: (x,y) = (27.7212, 38.1371)
74: (x,y) = (23.8139, 28.9321)
75: (x,y) = (17.936, 37.0222)
76: (x,y) = (27.7841, 35.2858)
77: (x,y) = (20.9641, 27.9722)
78: (x,y) = (16.4242, 19.0622)
79: (x,y) = (12.198, 28.1252)
80: (x,y) = (20.3895, 33.861)
81: (x,y) = (30.3834, 33.512)
82: (x,y) = (38.2635, 39.6686)
83: (x,y) = (28.2773, 40.192)
84: (x,y) = (36.1574, 46.3486)
85: (x,y) = (26.2319, 45.1299)
86: (x,y) = (20.9327, 53.6104)
87: (x,y) = (18.8536, 63.3919)
88: (x,y) = (25.2815, 55.7314)
89: (x,y) = (24.0628, 45.8059)
90: (x,y) = (15.5823, 51.1051)
91: (x,y) = (20.277, 42.2757)
92: (x,y) = (30.2709, 42.6247)
93: (x,y) = (22.8395, 49.316)
94: (x,y) = (21.7942, 59.2612)
95: (x,y) = (12.2311, 62.1849)
96: (x,y) = (21.8438, 64.9413)
97: (x,y) = (16.5446, 56.4608)
98: (x,y) = (13.4544, 46.9502)
99: (x,y) = (10.0342, 37.5533)
100: (x,y) = (0.331229, 39.9725)
101: (x,y) = (-7.75894, 45.8504)
102: (x,y) = (-2.02318, 54.0419)
103: (x,y) = (5.29036, 47.2219)
104: (x,y) = (11.851, 39.6748)
105: (x,y) = (6.25902, 31.3844)
106: (x,y) = (16.0027, 29.1349)
107: (x,y) = (21.3019, 20.6544)
108: (x,y) = (11.5204, 22.7336)
109: (x,y) = (21.5143, 22.3846)
110: (x,y) = (13.224, 27.9765)
111: (x,y) = (5.56353, 34.4044)
112: (x,y) = (10.4116, 25.6582)
113: (x,y) = (0.417715, 25.3092)
114: (x,y) = (-9.58076, 25.1347)
115: (x,y) = (-3.98883, 16.8443)
116: (x,y) = (3.99752, 10.8261)
117: (x,y) = (13.3333, 7.24245)
118: (x,y) = (6.38674, 0.0490529)
119: (x,y) = (14.5783, 5.78482)
120: (x,y) = (16.6574, -3.99666)
121: (x,y) = (26.4011, -6.24617)
122: (x,y) = (20.3829, 1.74019)
123: (x,y) = (29.3709, -2.64353)
124: (x,y) = (36.0622, -10.075)
125: (x,y) = (45.6252, -7.15126)
126: (x,y) = (53.5053, -13.3079)
127: (x,y) = (43.5601, -14.3532)
128: (x,y) = (48.5601, -23.0134)
129: (x,y) = (56.3316, -29.3066)
130: (x,y) = (46.3864, -30.3519)
131: (x,y) = (43.63, -20.7393)
132: (x,y) = (46.7202, -11.2287)
133: (x,y) = (56.3794, -13.8169)
134: (x,y) = (66.355, -13.1193)
135: (x,y) = (75.8102, -16.375)
136: (x,y) = (84.2907, -11.0758)
137: (x,y) = (91.9512, -17.5037)
138: (x,y) = (98.7711, -10.1902)
139: (x,y) = (90.681, -16.068)
140: (x,y) = (81.4759, -19.9753)
141: (x,y) = (71.8167, -22.5635)
142: (x,y) = (62.4809, -26.1472)
143: (x,y) = (65.0691, -16.4879)
144: (x,y) = (56.4088, -11.4879)
145: (x,y) = (51.8689, -2.57788)
146: (x,y) = (41.992, -4.14223)
147: (x,y) = (51.3278, -7.7259)
148: (x,y) = (48.4041, -17.289)
149: (x,y) = (38.9489, -20.5446)
150: (x,y) = (42.695, -29.8165)
151: (x,y) = (48.4307, -38.008)
152: (x,y) = (56.4171, -44.0261)
153: (x,y) = (49.2237, -50.9727)
154: (x,y) = (59.04, -52.8808)
155: (x,y) = (56.6208, -43.1779)
156: (x,y) = (57.8394, -33.2524)
157: (x,y) = (51.5462, -41.0239)
